,Age..ybp,Age..calender.,BSi.MAR..mgSiO2.cm2y.
1,(Years before 2002),NA,NA
1746,,NA,NA
1747,,NA,NA
1748,,NA,NA
1749,,NA,NA
1750,,NA,NA
1751,,NA,NA
1752,,NA,NA
1753,,NA,NA
1754,,NA,NA
1755,,NA,NA
1756,,NA,NA
1757,,NA,NA
1758,,NA,NA
1759,,NA,NA
1760,,NA,NA
1761,,NA,NA
1762,,NA,NA
1763,,NA,NA
1764,,NA,NA
1765,,NA,NA
1766,,NA,NA
1767,,NA,NA
1768,,NA,NA
1769,,NA,NA
1770,,NA,NA
1771,,NA,NA
1772,,NA,NA
1773,,NA,NA
1774,,NA,NA
1775,,NA,NA
1776,,NA,NA
1777,,NA,NA
1778,,NA,NA
1779,,NA,NA
1780,,NA,NA
1781,,NA,NA
1782,,NA,NA
1783,,NA,NA
1784,,NA,NA
1785,,NA,NA
1786,,NA,NA
1787,,NA,NA
1788,,NA,NA
1789,,NA,NA
1790,,NA,NA
1791,,NA,NA
1792,,NA,NA
1793,,NA,NA
1794,,NA,NA
1795,,NA,NA
1796,,NA,NA
1797,,NA,NA
1798,,NA,NA
1799,,NA,NA
1800,,NA,NA
1801,,NA,NA
1802,,NA,NA
1803,,NA,NA
1804,,NA,NA
1805,,NA,NA
1806,,NA,NA
1807,,NA,NA
1808,,NA,NA
1809,,NA,NA
1810,,NA,NA
1811,,NA,NA
1812,,NA,NA
1813,,NA,NA
1814,,NA,NA
1815,,NA,NA
1816,,NA,NA
1817,,NA,NA
1818,,NA,NA
1819,,NA,NA
1820,,NA,NA
1821,,NA,NA
1822,,NA,NA
1823,,NA,NA
1824,,NA,NA
1825,,NA,NA
1826,,NA,NA
1827,,NA,NA
1828,,NA,NA
1829,,NA,NA
1830,,NA,NA
1831,,NA,NA
1832,,NA,NA
1833,,NA,NA
1834,,NA,NA
